id,name
1,50 Cent
2,A. Michael Baldwin
3,A. Raven Cruz
4,A.J. Buckley
5,A.J. DeLucia
6,A.J. Langer
7,Aaliyah
8,Aaron Ashmore
9,Aaron Hann
10,Aaron Hill
11,Aaron Hughes
12,Aaron Kwok
13,Aaron Schneider
14,Aaron Seltzer
15,Aaron Stanford
16,Aaron Staton
17,Aaron Yoo
18,Aasheekaa Bathija
19,Aasif Mandvi
20,Abbie Cornish
21,Abby Elliott
22,Abby Mukiibi Nkaaga
23,Abel Ferrara
24,Abhishek Bachchan
25,Abigail Evans
26,Abigail Spencer
27,Abraham Benrubi
28,Ace Marrero
29,Adam Alexi-Malle
30,Adam Arkin
31,Adam Baldwin
32,Adam Boyer
33,Adam Brooks
34,Adam Brown
35,Adam Butcher
36,Adam Carolla
37,Adam Copeland
38,Adam DiMarco
39,Adam Garcia
40,Adam Goldberg
41,Adam Green
42,Adam Hicks
43,Adam Jay Epstein
44,Adam Lamberg
45,Adam LeFevre
46,Adam Marcus
47,Adam McKay
48,Adam Rapp
49,Adam Ratcliffe
50,Adam Rayner
51,Adam Rifkin
52,Adam Sandler
53,Adam Scott
54,Adam Shankman
55,Adam Trese
56,Adel Karam
57,Adelaide Kane
58,Aden Young
59,Adhir Kalyan
60,Aditya Roy Kapoor
61,Adolphe Menjou
62,Adrian Alonso
63,Adrian Gonzalez
64,Adrian Holmes
65,Adrian Lester
66,Adrian Lyne
67,Adrian Martinez
68,Adrian Pasdar
69,Adrian Paul
70,Adriana Barraza
71,Adriana Caselotti
72,Adriane Lenox
73,Adriano Giannini
74,Adrien Dorval
75,Adrienne Barbeau
76,Adrienne Frantz
77,Adrienne King
78,Adrienne Pickering
79,Adrienne Shelly
80,Agame Malembo-Emene
81,Agata Kulesza
82,Agata Trzebuchowska
83,Agnes Bruckner
84,Agnes Moorehead
85,Agnia Ditkovskite
86,Agnieszka Holland
87,Agnieszka Wojtowicz-Vosloo
88,Agustín Díaz Yanes
89,Ah-sung Ko
90,Ahmad Massad
91,Ahmed Best
92,Ahmed Hassan
93,Ahmet Ertegun
94,Ahna O'Reilly
95,Ahney Her
96,Aida Elkashef
97,Aida Folch
98,Aida Turturro
99,Aidan McArdle
100,Aidan Quinn
101,Aidan Turner
102,Aimee Garcia
103,Aimee Teegarden
104,Aisha Hinds
105,Aisha Tyler
106,Aitana Sánchez-Gijón
107,AJ Michalka
108,Ajay Naidu
109,Aki Aleong
110,Aki Kaurismäki
111,Akie Kotabe
112,Akima
113,Akira Kurosawa
114,Akira Terao
